CustomerID,FirstName,LastName,Email,Region,City,Segment,AcquisitionChannelID,FirstOrderDate,LTV_USD,CAC_USD,LTV_CAC_Ratio
1,Jose,Carpenter,benjamin96@example.com,Ontario,Samuelhaven,Potential,3,2022-07-01,59.56,5.54,10.75
2,Darrell,Lam,jonathanfletcher@example.org,Quebec,West Ryan,Lost,4,2022-06-02,57.59,3.8,15.16
3,Stacy,Mccall,elizabeth14@example.net,New Brunswick,Elizabethmouth,Lost,3,2022-04-05,59.61,3.87,15.4
4,Richard,Phillips,jamesortega@example.com,Manitoba,New Ashley,Lost,1,2022-02-14,62.71,2.93,21.4
5,Richard,Bass,justin69@example.net,Ontario,Stevenmouth,Loyal,3,2022-01-08,259.87,2.73,95.19
6,Emma,Dixon,donnacampbell@example.net,Manitoba,Clarencebury,Potential,1,2022-03-20,56.75,5.0,11.35
7,Emily,Walker,dylanwilliams@example.com,British Columbia,South Robertshire,Lost,8,2022-02-09,78.3,18.01,4.35
8,James,Horton,jross@example.net,Manitoba,Port Michelleville,At Risk,2,2022-05-13,98.42,19.74,4.99
9,Kimberly,Robinson,pwilliams@example.org,Quebec,Andersonmouth,Loyal,4,2022-07-17,206.92,0.01,20692.0
10,Elizabeth,Travis,stephanie79@example.net,Ontario,Rivasside,Lost,1,2022-01-16,33.35,2.2,15.16
11,Sean,Moore,wcole@example.org,Alberta,Katiehaven,Potential,4,2022-06-13,135.3,0.01,13530.0
12,Todd,Allen,sjones@example.org,New Brunswick,Matthewside,Potential,5,2022-05-10,61.5,22.14,2.78
13,Christopher,Hernandez,tbenson@example.org,Ontario,South Rickside,At Risk,6,2022-01-03,134.54,0.01,13454.0
14,Steven,Brown,xprice@example.net,Ontario,Port Nicoleshire,At Risk,1,2022-08-12,162.74,0.78,208.64
15,Omar,Smith,kenneth66@example.net,British Columbia,South Jeffrey,Potential,6,2022-03-01,142.29,0.86,165.45
16,Ryan,Johnson,elizabeth62@example.com,Alberta,New Amanda,Champions,6,2022-02-13,526.21,5.5,95.67
17,Rebecca,Vargas,millerroy@example.com,Quebec,North Jorge,Potential,2,2022-11-28,78.29,26.07,3.0
18,Mark,Gibson,kathleen64@example.com,Quebec,Maryfort,Potential,5,2022-07-21,64.71,20.46,3.16
19,Andrew,Ryan,jeffrey10@example.org,Ontario,East Mary,Potential,5,2022-01-03,117.45,29.57,3.97
20,Christine,Allen,kcaldwell@example.org,Manitoba,Lyonsstad,At Risk,1,2022-05-01,123.27,1.31,94.1
21,Gary,Lawson,stricklandfrank@example.com,Ontario,New Anthonyport,Loyal,1,2022-12-31,206.74,4.44,46.56
22,Barbara,Odonnell,tsanders@example.org,Quebec,New Hannahbury,Loyal,2,2022-01-19,251.82,26.2,9.61
23,Curtis,Barton,hoganashlee@example.org,Ontario,Amandastad,Loyal,4,2022-06-09,295.46,6.06,48.76
24,Casey,Holland,atkinsonlynn@example.org,Ontario,Yumouth,Champions,3,2022-11-21,804.23,8.37,96.08
25,Jasmine,Graham,christina87@example.com,Ontario,Petersenshire,At Risk,2,2022-05-11,126.69,25.06,5.06
26,Joseph,Christian,ramirezshannon@example.com,Manitoba,Rogersfort,Champions,4,2022-11-27,1011.81,1.26,803.02
27,Melissa,White,michaelgreen@example.com,Saskatchewan,Angelahaven,Lost,3,2022-01-19,24.08,10.85,2.22
28,Stacy,Miller,wfreeman@example.org,Quebec,Brewerfort,Loyal,5,2022-02-25,302.13,27.79,10.87
29,Shane,Smith,jeffrey34@example.net,Quebec,Thomashaven,Loyal,1,2023-08-27,395.25,2.42,163.33
30,Maurice,Barajas,michael74@example.com,Ontario,Jerryborough,Loyal,2,2022-03-06,237.56,18.84,12.61
31,Leslie,Newton,jamesrodgers@example.com,Quebec,Tinaborough,Champions,3,2022-10-30,973.52,6.66,146.17
32,Kenneth,Ward,alexis82@example.com,Manitoba,North Angelaberg,At Risk,7,2022-06-08,169.66,9.03,18.79
33,Dana,Mullins,salasaudrey@example.com,Quebec,Alexanderburgh,Loyal,3,2022-07-06,197.7,6.09,32.46
34,Tammy,King,ewilson@example.com,Ontario,Joneston,Potential,8,2022-12-03,51.24,18.93,2.71
35,Edward,Shepherd,christopher31@example.net,Alberta,Obrienbury,Champions,4,2022-12-08,1106.24,0.01,110624.0
36,Kimberly,James,levans@example.com,Quebec,Ashleyton,Lost,1,2022-04-19,72.65,5.61,12.95
37,Chelsea,Singh,colleenbaker@example.org,Quebec,East Glenn,Potential,5,2022-12-03,121.7,21.69,5.61
38,Charles,Smith,enorris@example.com,Ontario,East Keithport,Potential,4,2022-01-15,43.21,1.52,28.43
39,Jacqueline,Gibson,sandrafrench@example.net,Nova Scotia,South Danny,At Risk,1,2022-12-17,130.18,6.09,21.38
40,Jeffrey,Hernandez,margaret10@example.org,Ontario,Brookeshire,Loyal,2,2022-04-24,461.98,22.33,20.69
41,Samantha,Gonzales,sbarker@example.com,Alberta,Vincentfort,Lost,5,2022-01-03,75.88,23.12,3.28
42,Samuel,George,mnavarro@example.com,Saskatchewan,North Jeremyshire,Potential,5,2023-06-15,83.7,19.1,4.38
43,Brenda,Smith,barbara27@example.net,Ontario,Moonburgh,Champions,2,2022-10-16,906.2,15.72,57.65
44,Wendy,Graham,ecosta@example.com,Ontario,Cookville,Potential,7,2022-06-03,50.69,9.2,5.51
45,Mia,Rivera,zroberts@example.net,Ontario,South Christopherview,Potential,4,2022-12-30,127.62,5.21,24.5
46,Marcus,Cordova,ahancock@example.net,Ontario,Gutierrezborough,Loyal,2,2022-03-08,323.9,20.09,16.12
47,April,Dean,wgarrett@example.org,Alberta,West Andrea,At Risk,6,2022-04-16,130.58,0.01,13058.0
48,Sara,Kim,omartinez@example.net,British Columbia,Lake Eric,Potential,6,2022-08-16,131.99,0.01,13199.0
49,Andrea,Tran,walkermaureen@example.org,British Columbia,Valentineberg,Potential,1,2023-01-05,94.55,0.01,9455.0
50,Tyrone,Moran,robert77@example.org,New Brunswick,Arnoldfurt,Potential,1,2022-06-07,75.79,3.47,21.84
51,James,Greene,michellehill@example.com,Quebec,Sarahhaven,Potential,2,2022-04-12,137.96,20.91,6.6
52,Joseph,Smith,mary97@example.org,New Brunswick,Ryanstad,Loyal,1,2022-08-01,350.47,1.66,211.13
53,Martin,Hines,ugibson@example.org,Ontario,New Patrick,Potential,7,2022-05-25,52.11,7.36,7.08
54,Melissa,Jenkins,julie66@example.net,Ontario,South Tammie,Potential,3,2022-05-15,100.93,7.68,13.14
55,David,Sanford,molly71@example.net,Quebec,Smithberg,Loyal,3,2022-11-29,358.57,11.73,30.57
56,Robert,Pena,charlesharrington@example.com,British Columbia,Cindyfurt,Loyal,7,2022-07-01,220.45,11.42,19.3
57,Debra,Christian,ofinley@example.net,Ontario,Brennanton,Potential,3,2022-07-01,55.13,11.2,4.92
58,Christina,Young,wendy16@example.org,British Columbia,South Garrettport,Champions,1,2022-01-20,571.78,0.43,1329.72
59,Rebecca,Williams,carternicholas@example.org,Manitoba,New Robert,Lost,1,2022-04-03,77.94,0.84,92.79
60,Erin,White,christianpitts@example.net,British Columbia,South Roberta,Champions,5,2022-03-13,860.09,26.6,32.33
61,Douglas,Murray,steve07@example.com,Ontario,North Scott,At Risk,1,2022-03-06,138.02,4.65,29.68
62,Michael,Matthews,dvaughn@example.com,Quebec,South Melissa,Champions,1,2022-07-06,652.75,0.01,65275.0
63,Daniel,James,bailey40@example.net,Ontario,Hillshire,At Risk,3,2022-10-13,142.1,8.47,16.78
64,Michelle,Osborne,lozanojulie@example.com,British Columbia,New Laurie,Potential,5,2022-03-06,47.78,19.74,2.42
65,Jeffery,Lee,erica21@example.net,Ontario,West Kristinaton,Champions,1,2023-07-30,1140.64,2.87,397.44
66,Bethany,Oconnor,browningmark@example.com,Quebec,East David,Potential,3,2022-01-03,118.97,2.15,55.33
67,Amber,Mata,maria47@example.com,Quebec,Lindamouth,Potential,7,2022-05-28,107.25,8.24,13.02
68,Sydney,Taylor,michelleramsey@example.com,Ontario,Christopherfurt,Potential,6,2022-01-07,136.48,6.41,21.29
69,Alexander,Herrera,vrichardson@example.net,Quebec,Brendastad,Lost,5,2022-09-11,37.24,29.7,1.25
70,Daniel,Hall,harveysherry@example.com,Ontario,Lake Bryan,Loyal,3,2022-07-28,422.64,4.69,90.12
71,Madison,Blankenship,debra12@example.org,Ontario,West Wendyville,At Risk,5,2022-08-20,194.33,26.49,7.34
72,Colton,Clay,paulwatson@example.net,Quebec,Matthewsberg,Potential,1,2022-04-05,107.78,0.01,10778.0
73,Nicole,Pena,rgilbert@example.org,British Columbia,Jeffmouth,Potential,1,2022-07-28,142.56,1.25,114.05
74,Stephanie,Foley,pollardmichael@example.net,Ontario,Bruceview,Champions,1,2023-08-04,931.97,6.87,135.66
75,James,Martinez,ndavis@example.net,Manitoba,North Kristinbury,Lost,1,2022-02-15,74.87,0.01,7487.0
76,Vanessa,Buchanan,caseyhubbard@example.org,British Columbia,Port Molly,Champions,1,2022-09-13,701.59,2.21,317.46
77,Mark,Hernandez,ramireztracey@example.org,Alberta,Laurenville,Champions,1,2022-03-28,687.62,6.19,111.09
78,Donna,Johnson,howardkristina@example.net,Ontario,Alfredview,Champions,3,2022-12-23,745.47,6.33,117.77
79,Brian,Harmon,reesethomas@example.com,British Columbia,South Williamton,Loyal,2,2022-03-26,314.7,25.88,12.16
80,Jessica,Kerr,stephen00@example.com,Manitoba,Simmonsville,Lost,1,2022-05-01,70.34,0.17,413.76
81,Tracy,Browning,lammarc@example.org,Ontario,East Joshuashire,Lost,3,2022-06-30,75.26,11.88,6.34
82,Amy,Nguyen,shawn96@example.org,Ontario,Port Dianaside,Loyal,1,2022-04-28,436.74,2.53,172.62
83,Jennifer,Lewis,abeasley@example.com,Quebec,Rossville,Loyal,8,2022-10-20,379.06,17.73,21.38
84,Larry,Edwards,nicholas27@example.org,British Columbia,Port Christopherchester,Lost,1,2022-02-11,70.68,7.35,9.62
85,Colin,Rodgers,angelawillis@example.net,Alberta,Elizabethchester,At Risk,5,2022-09-28,163.62,20.79,7.87
86,Michael,Ortega,uparrish@example.org,British Columbia,Carolinestad,Loyal,5,2022-06-08,280.99,25.61,10.97
87,Dale,Romero,dianewalker@example.org,British Columbia,Meganstad,At Risk,2,2022-02-05,95.2,26.11,3.65
88,Danny,Ramirez,lindsaybruce@example.net,Saskatchewan,New Sarahview,Loyal,2,2022-04-10,365.15,17.68,20.65
